⚽世界杯,#genre#
CNBC,https://amg01079-nbcuuk-amg01079c2-samsung-gb-1258.playouts.now.amagi.tv/ts-us-e2-n2/playlist/amg01079-nbcuukfast-cnbcuk-samsunggb/cb573e1f796c648e9dd43d6fcef74782847b3dcb0e6c886470af4a9765d97800dbe8ae84ae5b910c4c9e1fc061017d360439cd1dd56c49c1da63b820743c4b21fdcde00080dd0d0cb1df11292ca36265299a7369cc350f7bd2ec5a2f803ebe764c53cb017c593f88f258ae7e4cc59e0a957f39e8fc8b307b24455a9c5a43e6a64cb7a9b25a40db6df2b2014bc42a43fa83439fd501b3d4865e8317d324f5409d97a68cda128b8c81599706e6274759326da684769ec854b8a8f40355875018762171c98eb2d76021dc3b2930f9fbd8f164ef03f187248c6545d76af254a500ba5484288ac453faddd1b643452aeac7547137a197c3e09a6569ce0c9ca3edce3d7890f266102daf76e811021c8da7b37ee3c21185f8278ba01b7052ab8a71baaf95a6db9fbd7e817fb4ad999939510077073d9549b09363dc5bb012c3d52702637e709fb37be39beb6f5a1127346851ae71339299e2abd0003c8a4b1454ef12b631674dff44a7f8784f83fe1d7f802770e57f5da91d5d08258d7fa4dde944c4501bcc219b0e4b9505892a989823ba643d162abcfc2b606e4373d7d4ab6c5a76ee4afedac6ed764655a2a78db6f75a36033600414ca5d6a721cbc090725d21c85d70342f500fc0509f29fe10590c2bfe1bd1870060ca53727aa8f4691d1247befc9cadcb96c64dbe7a93e8f83a243410239e3b172963d6f9dc0aa5761b302a13d04f5742bb06484ba5c09ab2d7d338bce90ec00f6b1a67cae704015802010424afd0398710b2e95ed3fded53c3e881173ff51fab131f93d59c21b8da88c94b0087b9157e4392c02cd17c3dcd74857fd832111e18bda97a1871d8da8fc83c35dd72b1e43ebf4550/140/1920x1080_4716800/index.m3u8

SKYNEWS,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/251.ts#https://xumo-drct-skynews-nc91a.fast.nbcuni.com/live/master_5.m3u8
法广新闻,https://amg00106-france24-france24-samsunguk-qvpp8.amagi.tv/ts-eu-w1-n2/playlist/amg00106-france24-france24-samsunguk/cb553d1e7f6c678a93d43e61d4ef41a4da2427fc087a8d6933fb4b926bc10f41f8eda29ab30fb02b04940fa73f4e380d4d1a9a4ace0362d7b66aa9515b7d121b9d81a20a99d94e5cd58d5d5173f7651b52f91016d6354b59f1dd3724c97db9700e16a82e6b553982f449de2e109add5f947e2d88b3dd7f39635a4ffc0c0bb4e207bcfae25a5bdb6ab3a54a1ac32640b28210d4804fb9d2c95a9f15866ba0469893ed8c82178b8e9167ab5fe3645c025c17f4817d808749b5e5897d2b957f2f34733f8db8a7dd710fb2756a72dfe291cf0f9612ca9a6b826f27ab01ea2cee51da31d963c0e04ab3e3bfd6463351cea240511489c1bdd0835f54bc62e8ecedd3670ef49c7f6373e85fff071f17a0c9d64ec4a97b97b230cbb5790d07c49e489a94bcf181dae151bd15faf8d0b71063674d1958fa37ce9b69c867dc68b8f11d20514836c1f03fdfa7e96e0f4c6eaba543e61371c1b30a28426c41a85528188555d7521169c8745f68e439fc894e14e34424a445f07fc557fa2fd2b73ee1af9bc40b3ea7d7c443850fa5d558949e8ace1cbf9cf917b2ac7d6535e5e36da3f62441630f8bf2c7e4650003edb8eef6c9503900362d836de1f7ca7f8187cc251c59941d76203c3d16950dd87dd013415b6ee010c7a90534a807226dc9947f651a3dc6f7e0d4b8818304946fc3c3f80e2a39726aa97c5075399de5db19b513634a5771cc4f684ab6021a65ef96c2ead0c04dc68e6ba73d2d453796be470f591c2323399a9669c557adc64eeed5990abe80e7766ab67c9b7377cf80e33dadd2d6bd0865f68d5816609bd655a0523dd71bd151e5f178cabf58035c710067f1ce6cbd389dda89cc3f953ca72c522cbc98da334d437c0085f00e405e43b055085b3498677cda25/126/1920x1080_6046040/index.m3u8

CNN,http://ultrapremium.cloud:8080/43kagu97wa34tu39/72maxe529weda74/686
FOXNEWS,http://ultrapremium.cloud:8080/43kagu97wa34tu39/72maxe529weda74/23441#http://ultrapremium.cloud:8080/43kagu97wa34tu39/72maxe529weda74/24031

半岛新闻,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/255.ts
半岛新闻,https://live-hls-aje-ak.getaj.net/AJE/01.m3u8
半岛新闻,https://live-hls-web-aja.getaj.net/AJA/01.m3u8

伊朗新闻,https://live.presstv.ir/hls/presstv_6_482/index.m3u8#https://live.presstv.ir/hls/presstv_5_482/index.m3u8#http://asmr4k.world:8080/05347247405/3100934708/358477
乌克兰新闻,http://asmr4k.world:8080/05347247405/3100934708/402442#https://avers.pp.ua/hls/efir.m3u8#https://cdn1.live-tv.cloud/rivne1/rivne1-abr/rivne1/rivne1-sub2/chunks.m3u8#https://cdn10.live-tv.cloud/sferarv/sferarv-abr/sferarv/480p/chunks.m3u8
俄罗斯新闻,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8#https://streaming.televizor-24-tochka.ru/live/30-req_offset_28000000-req_window_0-2k_v5.m3u8#https://streaming.televizor-24-tochka.ru/live/30-req_offset_28000000-req_window_0-2k_v5.m3u8#http://asmr4k.world:8080/05347247405/3100934708/871535
印度新闻,https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/masterp_720p@3.m3u8#https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/ndtvindiamaster.m3u8#https://indiatodaylive.akamaized.net/hls/live/2014320-b/indiatoday/indiatodaylive/live_720p/chunks.m3u8#https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/ndtv24x7master.m3u8
泰国公视,https://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8#http://thaipbs-live.cdn.byteark.com/live-en/playlist_720p/index.m3u8
叙利亚新闻,https://svs.itworkscdn.net/syriatvlive/syriatv.smil/syriatvpublish/syriatv_source/chunks_dvr.m3u8
阿拉伯新闻,https://live.alarabiya.net/alarabiapublish/alhadath.smil/alarabiapublish/alhadath_1080p/chunks.m3u8
以色列新闻,https://fastly.live.brightcove.com/6386790908112/eu-central-1/5377161796001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoiZXJmajYzLmVncmVzcy53YzQ3bTEiLCJhY2NvdW50X2lkIjoiNTM3NzE2MTc5NjAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyI1Mzc3MTYxNzk2MDAxIl0sImp0aSI6IjYzODY3OTA5MDgxMTIifQ._w5c3EwfnEecDCEpDaKuVz07uuEyUb3vXvQN3svv-oU/chunklist__4.m3u8#https://bcovlive-a.akamaihd.net/d89ede8094c741b7924120b27764153c/eu-central-1/5377161796001/profile_0/chunklist.m3u8
巴勒斯坦新闻,https://pbc.furrera.ps/palestinehd/tracks-v1a1/mono.m3u8
真主党新闻,https://edge.fastpublish.me/live/tracks-v1a1/mono.m3u8
土耳其之声,https://tv-trtworld.medya.trt.com.tr/master_1080.m3u8


🇹🇼台港新闻,#genre#
镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
镜新闻,http://rihou.cc:555/tv/[Hk]%E9%97%BD%E9%95%9C%E6%96%B0%E9%97%BB
TVBS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
镜新闻,http://rihou.cc:555/tv/镜新闻
民视新闻,http://rihou.cc:555/tv/民视新闻
中视新闻,http://rihou.cc:555/tv/[Hk]中视新闻 
寰宇新聞,http://rihou.cc:555/tv/寰宇新闻
东森新闻,http://rihou.cc:555/tv/东森新闻

民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
TVBS新闻,http://jnzq.ohoyee.com:9080/live/332123-tvbsxw.m3u8
寰宇新闻,http://jnzq.ohoyee.com:9080/live/332123-hyxw.m3u8
民视新闻,http://211.72.174.95:8117/0.ts
台视新闻,https://live.wcetv.com/hls/master-ttvnews.m3u8
东森新闻,http://211.72.174.95:8138/0.ts

NOW新闻,http://cdn.163189.xyz/163189/now
HOY资讯,http://cdn.163189.xyz/163189/hoy78
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx#https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd

镜新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=268
东森新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=234
东森新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=292
华视新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=256
华视新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=34
民视新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=257
三立新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=229
TVBS新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=291
中视新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=33
中视新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=258
中天新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=260
中天新闻,https://ha.msbot.dpdns.org/4gtv_api.php?id=30
寰宇新闻台,https://ha.msbot.dpdns.org/4gtv_api.php?id=262

民视新闻,http://74.91.26.218:82/live/ftvnews.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
华视新闻,http://74.91.26.218:82/live/ctsnews.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8

🇺🇸欧美综合,#genre#
BBC1,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/234.ts
BBC2,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/235.ts
BBC3,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/236.ts
BBC4,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/237.ts

BBC1,http://81.137.213.119:4202/bysid/17536
BBC2,http://81.137.213.119:4202/bysid/17472
BBC3,http://81.137.213.119:4202/bysid/17920
BBC4,http://81.137.213.119:4202/bysid/18048
ITV1,http://81.137.213.119:4201/bysid/8261
ITV3,http://81.137.213.119:4201/bysid/8294
ITV2,http://81.137.213.119:4201/bysid/8325
ITV4,http://81.137.213.119:4201/bysid/8330
CBS,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/89712.ts
NBC,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/89714.ts
FOX,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/2544.ts
ABC,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/3606.ts
FOX,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/2544.ts
CW,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/93093.ts
CBS,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/89717.ts
NBC,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/2428.ts
FOX,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/2503.ts
ABC,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/2665.ts
CBS,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/559692.ts
CW,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/630645.ts

BBC1,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/234.ts
BBC1,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98853
BBC1,http://falcontv.top/0990183718/6298570159/377711
BBC1,http://atlanticflixtv.online/1552952/97L6A58/69431
BBC1,http://wx78.vpn-cloud.icu:8080/p3v23bcwj2/j9iyghyczo/77361

🇭🇰台港综合,#genre#

民视,https://ha.msbot.dpdns.org/4gtv_api.php?id=3
民视,https://ha.msbot.dpdns.org/4gtv_api.php?id=246
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=183
中视,https://ha.msbot.dpdns.org/4gtv_api.php?id=4
华视,https://ha.msbot.dpdns.org/4gtv_api.php?id=6

中视,http://211.72.174.95:8113/0.ts
华视,http://211.72.174.95:8114/0.ts
公视,http://211.72.174.95:8116/0.ts
民视,http://211.72.174.95:8115/0.ts
台视,http://211.72.174.95:8112/0.ts

翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
HOY,http://cdn6.163189.xyz/163189/hoy
凤凰台,http://cdn6.163189.xyz/163189/fhzw
凤凰台,http://cdn6.163189.xyz/163189/fhhk

公视,http://74.91.26.218:82/live/pts.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
民视,http://74.91.26.218:82/live/ftv.m3u8
华视,http://74.91.26.218:82/live/cts.m3u8
中视,http://74.91.26.218:82/live/ctv.m3u8


TV朝鲜,http://onair2.cdn.tvchosun.com/origin2/_definst_/tvchosun_s3/playlist.m3u8

🇯🇪纪实人文,#genre#
爆笑视频,https://81d1c38525014f39a1705b01e04d91c2.mediatailor.us-east-1.amazonaws.com/v1/master/04fd913bb278d8775298c26fdca9d9841f37601f/RakutenTV-eu_ThePetCollective-1/playlist.m3u8#https://965a56fdfe3c40cd9b73c49a0cde620b.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/RakutenTV-eu_PeopleAreAwesome-1/playlist.m3u8#https://d39g1vxj2ef6in.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-rakuten-stitched/master.m3u8#https://bd93cfed.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1X0ZhaWxBcm15X0hMUw/playlist.m3u8#

动物星球,http://61.221.215.25:8800/hls/57/index.m3u8

半岛纪录片,http://portal-iptv.net:8080/077998950140/077998950140/650

罪案侦查,https://ha.msbot.dpdns.org/4gtv_api.php?id=215
视纳华仁纪实,https://ha.msbot.dpdns.org/4gtv_api.php?id=38
爱尔达宠物运动,https://ha.msbot.dpdns.org/4gtv_api.php?id=19
靖天日本,https://ha.msbot.dpdns.org/4gtv_api.php?id=22
PetClub,https://ha.msbot.dpdns.org/4gtv_api.php?id=464
滚动力rollor,https://ha.msbot.dpdns.org/4gtv_api.php?id=249
亚洲旅游,https://ha.msbot.dpdns.org/4gtv_api.php?id=250
亚洲旅游,https://ha.msbot.dpdns.org/4gtv_api.php?id=261
fun探索娱乐,https://ha.msbot.dpdns.org/4gtv_api.php?id=274
幸福空间居家,https://ha.msbot.dpdns.org/4gtv_api.php?id=123
LoveNature,https://ha.msbot.dpdns.org/4gtv_api.php?id=139
历史频道,https://ha.msbot.dpdns.org/4gtv_api.php?id=214
爱尔达生活旅游,https://ha.msbot.dpdns.org/4gtv_api.php?id=237
LUXETV,https://ha.msbot.dpdns.org/4gtv_api.php?id=175

DISCOVERY,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/129864
A&E,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/129816#http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/130067
COWBOY,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/129857
History,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/129892#http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/10357
NGO,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/129928
NGOWild,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/129927
SUNDANCE,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/129957

DISCOVERY,http://23.237.104.106:8080/USA_DISCOVERY/index.m3u8

🇧🇮娱乐综艺#genre#

🇲🇾影视娱乐,#genre#
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
靖天映画,https://ha.msbot.dpdns.org/4gtv_api.php?id=42
靖天电影,https://ha.msbot.dpdns.org/4gtv_api.php?id=82
影迷数位电影,https://ha.msbot.dpdns.org/4gtv_api.php?id=40
amc电影,https://ha.msbot.dpdns.org/4gtv_api.php?id=39
CinemaWorld,https://ha.msbot.dpdns.org/4gtv_api.php?id=225
日韩电影大赏,https://ha.msbot.dpdns.org/4gtv_api.php?id=415

🇲🇾新马泰印#genre#

🇯🇲体育,#genre#
TORO,http://line.cloud-ott.net:80/play/live.php?mac=00:1A:79:0D:80:56&stream=959568&extension=ts&play_token=FLzcBlqF5i
TORO,http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/235353.ts
TORO,https://fastly.live.brightcove.com/1846756479408303045/eu-central-1/6057955885001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoiZWFxNWh4LmVncmVzcy53YzQ3bTEiLCJhY2NvdW50X2lkIjoiNjA1Nzk1NTg4NTAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyI2MDU3OTU1ODg1MDAxIl0sImp0aSI6IjE4NDY3NTY0Nzk0MDgzMDMwNDUifQ.o6wb_VA-TVxl3ERgr7FKLlaTjY7smErmsf73QAydySE/chunklist-dvr_hls1080p.m3u8#https://cflive.kaltura.com/scf/env/d.live.nvp1/live/hls/p/2288691/e/1_gnz6ity9/tl/main/st/0/t/eB3tZbaQcuVjhPbVtiVcng/index-s32.m3u8?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZmxpdmUua2FsdHVyYS5jb20vc2NmL2Vudi9kLmxpdmUubnZwMS9saXZlL2hscy9wLzIyODg2OTEvZS8xX2duejZpdHk5L3RsL21haW4vc3QvMC90L2VCM3RaYmFRY3VWamhQYlZ0aVZjbmcvKiIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc4MjE5ODgxMX19fV19&Signature=FXpc62ldFEEBkgNPXW2UukD2uHnOktCDqlvf-Ot1SA7geDcNORqXp4yutYm7S4~216vWH7DEOrf9iASOasBNlQU6NILNjDxxqDTsdaC3B3JJOmmbszWukD5HY48nzqaZd5gnfvxT9u94cSQeJLslNhiAaYcvBM~a6y9EalyTGnqbRjiD7rloK-tv~ermRZHL~-5l40Q1Pf2pWv-mJJaxWR20HLjPWyo5RsZxDgqnmT9bJh8u216JeviUGMqb1tqZNr1~Ncll48lz-wALBqKiWYG3vvejhUp2yx6kgSo8W8kZvqmz9OHLa6G3OfFSfO1L-g5HUTedTHqFJvFe1P2-7w__&Key-Pair-Id=K31ANTJBLNVBEC
TORO,http://wickediptv.xyz:80/live/Randall123/Randall321/58599.m3u
TORO,https://edge-nodo-001.streaming.hitcloser.net/eltorotv-streaming-web/tracks-v1a1/mono.ts.m3u8
TORO,https://edge-nodo-003.streaming.hitcloser.net/eltorotv-streaming-web/tracks-v1a1/mono.ts.m3u8#https://streaming-1.eltorotv.com/lb0/eltorotv-streaming-web/index.m3u8
TORO,http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/261518#http://hardcoremedia.xyz:80/6jTFRmvaSp/7534936344/261407
TORO,http://10k.lucastv.pro/live/2c99755ae255/gJnMAT2/23233.ts
TORO,http://asmr4k.world:8080/05347247405/3100934708/358770

PREMIERSPORTS1,http://best-8k.org/live/jjyw70ss4w/ek5ui8ithc/303258.m3u8
PREMIERSPORTS2,http://best-8k.org/live/jjyw70ss4w/ek5ui8ithc/303257.m3u8

beINSPORTS,http://portal-iptv.net:8080/077998950140/077998950140/187
beINSports1-4K,http://portal-iptv.net:8080/077998950140/077998950140/31300
beINSports1FHD,http://portal-iptv.net:8080/077998950140/077998950140/20355
beINSports1UHD,http://portal-iptv.net:8080/077998950140/077998950140/43203
beINSports2-4K,http://portal-iptv.net:8080/077998950140/077998950140/31301
beINSports2FHD,http://portal-iptv.net:8080/077998950140/077998950140/20356
beINSports2UHD,http://portal-iptv.net:8080/077998950140/077998950140/43204
beINSports3-4K,http://portal-iptv.net:8080/077998950140/077998950140/31302
beINSports4-4K,http://portal-iptv.net:8080/077998950140/077998950140/31303
beINSports4FHD,http://portal-iptv.net:8080/077998950140/077998950140/20358
beINSports4UHD,http://portal-iptv.net:8080/077998950140/077998950140/43206
beINSports5-4K,http://portal-iptv.net:8080/077998950140/077998950140/31304
beINSports5FHD,http://portal-iptv.net:8080/077998950140/077998950140/20359
beINSports5UHD,http://portal-iptv.net:8080/077998950140/077998950140/43207
beINSports6-4K,http://portal-iptv.net:8080/077998950140/077998950140/31305
beINSports6FHD,http://portal-iptv.net:8080/077998950140/077998950140/20360
beINSports7-4K,http://portal-iptv.net:8080/077998950140/077998950140/31306
beINSports7FHD,http://portal-iptv.net:8080/077998950140/077998950140/20361
beINSports8-4K,http://portal-iptv.net:8080/077998950140/077998950140/31307
beINSports8FHD,http://portal-iptv.net:8080/077998950140/077998950140/20362
beINSports8UHD,http://portal-iptv.net:8080/077998950140/077998950140/43210
beINSports9-4K,http://portal-iptv.net:8080/077998950140/077998950140/31308
beINSports9FHD,http://portal-iptv.net:8080/077998950140/077998950140/20363
beINSports9UHD,http://portal-iptv.net:8080/077998950140/077998950140/43211
beINSportsNBA,http://portal-iptv.net:8080/077998950140/077998950140/31299
beINSPORTSNEWS,http://portal-iptv.net:8080/077998950140/077998950140/188

SKYSPORTSNEWS,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/331.ts
SkySportsMainEvent,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/332.ts
SkySportsCricket,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/333.ts
SkySportsGolf,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/334.ts
SkySportsPremiereLeague,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/335.ts
SkySportsAction,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/336.ts
SkySportsFootball,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/337.ts
SkySportsPlus,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/338.ts
SkySportsMix,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/339.ts
RacingTV,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/355.ts
SkySportsRacing,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/356.ts
PremierSports2,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/342.ts
TNTSPORT1,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/343.ts
TNTSPORT2,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/344.ts
TNTSPORT4,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/346.ts
Eurosport1,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/351.ts
Eurosport2,http://163.172.64.96:2017/live/GBa19qrcQYa3/u2c8FLfgkK/352.ts

